1.05771 86354.7 284.411 0.269373 90.9162 5.30084 208255
1.0799 85605.2 276.149 0.458365 152.197 12.3594 209837
1.08694 85269.2 273.283 0.518845 171.349 14.3246 210905
1.07557 84686.3 274.285 0.498639 164.466 18.9453 210545
1.07625 84406.3 273.205 0.520523 171.273 20.3517 210940
1.0669 83602.8 272.976 0.523418 171.994 21.7617 210929
1.06558 83304.7 272.34 0.53699 176.24 22.3578 211225
1.05881 82674.6 272.009 0.541158 177.457 22.8554 211214
1.05687 82380.7 271.539 0.55146 180.674 23.3113 211463
1.05145 81851.7 271.185 0.555928 181.992 23.6927 211457
1.04895 81533.1 270.772 0.564848 184.774 24.0381 211679
1.04404 81033.7 270.382 0.570052 186.34 24.253 211695
1.04117 80695.7 269.994 0.578156 188.895 24.2548 211896
1.0374 80307.8 269.673 0.582432 190.22 24.1007 211913
1.03534 80067.9 269.404 0.588099 192.013 24.0188 212061
1.03239 79761 269.138 0.591591 193.071 24.0434 212075
1.0301 79504.3 268.868 0.596934 194.726 24.1742 212205
1.0269 79166 268.558 0.601328 196.053 24.2921 212244
1.02403 78851.4 268.24 0.607192 197.868 24.341 212374
1.02081 78508.4 267.916 0.611986 199.345 24.2336 212433
1.018 78203 267.61 0.617398 201.037 24.0676 212548
1.01516 77900.2 267.32 0.621759 202.402 23.7644 212608
1.01288 77653.4 267.074 0.626054 203.757 23.4812 212699
1.01042 77391.6 266.82 0.629837 204.934 23.2306 212752
1.00825 77157.6 266.587 0.633798 206.177 22.9765 212834
1.00607 76925.2 266.359 0.637211 207.234 22.771 212885
1.00378 76679.7 266.115 0.6412 208.46 22.6779 212962
1.00102 76385.2 265.824 0.645613 209.811 22.5343 213033
0.998339 76098.7 265.538 0.650216 211.24 22.2509 213122
0.995761 75824.1 265.265 0.654368 212.53 21.8946 213192
0.993306 75562.5 265.003 0.658499 213.815 21.5355 213270
0.99083 75299.3 264.74 0.662485 215.053 21.1498 213338
0.98842 75043.1 264.482 0.666496 216.299 20.7671 213414
