variables = x y Den P T Ma u v E H
zone i=197 and j=30
0.0217208 0.0247011 1.36574 1.27353e+10 80829.3 0.270603 25.119 0 2.37901e+10 3.3115e+10 46935.4 -3785.91
0.0225141 0.0247905 1.36591 1.27195e+10 80718.4 0.266808 64.4147 -0 2.37444e+10 3.30564e+10 46164.2 -2684.95
0.0233099 0.0248544 1.36756 1.27616e+10 80886.9 0.241312 39.2622 0 2.37116e+10 3.30431e+10 45851.1 -7912.72
0.0241074 0.0248928 1.36736 1.27773e+10 80998.9 0.223444 32.2634 -0 2.36877e+10 3.30321e+10 45255.4 2386.87
0.0249056 0.0249056 1.37211 1.28031e+10 80881.4 0.216467 39.7743 -0 2.36338e+10 3.29647e+10 44558 -1238.65
0.0257039 0.0248928 1.36997 1.2817e+10 81096.8 0.178843 38.4686 0 2.36038e+10 3.29595e+10 43698 -10481.9
0.0265013 0.0248544 1.37022 1.28239e+10 81125.6 0.157417 7.61089 -0 2.35602e+10 3.29192e+10 42789.7 3380.88
0.0272971 0.0247905 1.37566 1.28327e+10 80858.6 0.147761 50.7373 -0 2.34649e+10 3.27932e+10 42373.4 -968.24
0.0280905 0.0247011 1.36817 1.27638e+10 80866.6 0.10282 38.1893 0 2.33973e+10 3.27265e+10 41078.4 -22490.5
0.0288806 0.0245864 1.36356 1.27902e+10 81307.7 0.0774833 17.1405 0 2.34896e+10 3.28697e+10 38550.2 -22985.4
0.0296665 0.0244463 1.35943 1.27704e+10 81427.9 0.0847319 -31.56 0 2.35321e+10 3.2926e+10 34811.4 -11705.4
0.0304476 0.0242812 1.37116 1.28782e+10 81412.8 0.098671 -53.7181 0 2.35452e+10 3.29373e+10 33882.2 -4679.93
0.031223 0.0240911 1.37571 1.28785e+10 81143.3 0.0973027 21.77 -0 2.34657e+10 3.28268e+10 32524.3 -1016.49
0.031992 0.0238762 1.37105 1.28754e+10 81400.2 0.0909305 -75.7868 0 2.35314e+10 3.29221e+10 28727.2 -1884.92
0.0327536 0.0236368 1.37527 1.30076e+10 81985.3 0.0962365 -83.7788 0 2.37069e+10 3.31651e+10 29151.9 -800.906
0.0335072 0.0233731 1.3851 1.30151e+10 81453.8 0.0847115 24.5997 -0 2.35404e+10 3.29373e+10 31786.6 983.423
0.0342519 0.0230854 1.37977 1.29614e+10 81433.1 0.0723191 -51.0395 -0 2.35207e+10 3.29152e+10 23852.9 3006.68
0.034987 0.022774 1.36282 1.30672e+10 83115.1 0.0805605 -200.757 0 2.40157e+10 3.36042e+10 20224.2 3316
0.0357118 0.0224392 1.38496 1.32258e+10 82803.5 0.0690297 -31.4636 0 2.39166e+10 3.34692e+10 34323.9 -10091.6
0.0364254 0.0220813 1.41212 1.30909e+10 80358.7 0.0834687 60.9203 0 2.32292e+10 3.24998e+10 27216.1 -14964.1
0.0371272 0.0217007 1.42119 1.31579e+10 80249.4 0.0973118 -126.559 0 2.32089e+10 3.24669e+10 7552.17 1845.17
0.0378165 0.0212979 1.41817 1.3281e+10 81176.6 0.062487 -83.7174 -0 2.34391e+10 3.2804e+10 18175 9789.32
0.0384925 0.0208731 1.40679 1.32165e+10 81435.8 0.0399612 -51.2227 -0 2.34981e+10 3.28929e+10 27390.5 -2189.48
0.0391545 0.0204269 1.40903 1.32513e+10 81520.6 0.0443219 -41.1472 0 2.35256e+10 3.29303e+10 12813 -8482.43
0.0398019 0.0199597 1.42222 1.3294e+10 81026.9 0.0393421 -43.5952 0 2.33815e+10 3.27292e+10 7263.76 2807.52
0.040434 0.019472 1.43569 1.33382e+10 80531.8 0.0328355 -59.4181 0 2.32343e+10 3.25248e+10 11724.4 4150.86
0.0410502 0.0189643 1.4391 1.33344e+10 80317 0.0475659 -118.027 0 2.31791e+10 3.24449e+10 3841.45 -15299.3
0.0416497 0.0184371 1.44902 1.35267e+10 80912.6 0.0671533 -181.1 0 2.33676e+10 3.2702e+10 -5767.68 -28266.5
0.042232 0.0178909 1.44165 1.36105e+10 81838.3 0.107136 -31.2905 0 2.36827e+10 3.3124e+10 -2049.13 -24656.7
0.0427966 0.0173264 1.42912 1.36053e+10 82519.2 0.142333 -22.007 0 2.39356e+10 3.34554e+10 -3198.25 -10899.3
0.0433427 0.0167441 1.42742 1.3622e+10 82719.6 0.135557 -130.059 -0 2.39825e+10 3.35255e+10 -13048.8 9070.36
0.0438699 0.0161445 1.43131 1.35989e+10 82357.5 0.111561 -153.792 -0 2.38359e+10 3.3337e+10 -7999.99 21514.7
0.0443776 0.0155284 1.44718 1.37179e+10 82166.2 0.102074 10.4434 -0 2.3767e+10 3.32461e+10 6540.7 18808.7
0.0448653 0.0148963 1.44624 1.36834e+10 82012 0.0838903 75.9011 -0 2.37012e+10 3.31625e+10 12921.1 13599.7
0.0453325 0.0142489 1.44854 1.37171e+10 82083 0.0645554 46.288 -0 2.37015e+10 3.3171e+10 10608.7 13365.8
0.0457787 0.0135869 1.44531 1.36711e+10 81989.7 0.058762 56.3796 -0 2.36697e+10 3.31284e+10 6710.94 14092.2
0.0462035 0.0129109 1.44269 1.36349e+10 81922 0.0672117 24.7259 -0 2.36577e+10 3.31086e+10 4322.64 14977.3
0.0466064 0.0122216 1.44173 1.36191e+10 81881 0.0764992 34.4764 -0 2.36542e+10 3.31003e+10 2866.64 14928.2
0.0469869 0.0115198 1.43712 1.35545e+10 81755.3 0.0830712 18.2164 -0 2.3625e+10 3.30567e+10 1332.31 14436.2
